Brightness_Class,Id
0,11328
0,5781
0,13681
0,30804
0,30813
1,5983
0,20374
1,22332
1,17800
0,22064
0,20477
0,4150
1,155
1,29621
1,8843
0,32539
1,26690
1,1926
0,23170
0,5137
0,25798
1,32111
1,13555
1,14978
1,22985
0,18670
0,30384
0,1302
1,30442
1,26949
0,13382
0,11591
0,13568
1,66
0,24156
1,32589
1,9827
0,9765
1,19051
0,3949
0,28110
0,11335
0,13380
1,12646
1,9844
1,3239
0,16593
0,28103
0,21142
1,24007
0,14411
0,30677
0,17856
0,3607
0,12691
0,2241
1,18762
1,22051
1,31131
1,9523
1,22772
1,5736
0,23348
0,22657
0,6815
0,15308
0,1795
0,8227
0,15155
0,14269
1,2898
0,32337
0,23180
1,23792
0,22374
0,1732
1,31747
0,25873
1,22487
1,31498
0,25910
0,15339
0,24778
0,15820
1,21106
1,5529
1,18512
0,535
1,14212
1,19750
0,6938
1,8489
1,14617
0,11466
0,5564
1,8190
0,27926
1,23451
0,12006
0,8914
0,27481
0,28052
0,3233
1,8173
0,9029
1,3140
0,27017
0,29934
0,2056
0,2831
0,10691
1,19687
0,27782
1,15795
1,27860
0,20373
1,6581
1,19983
0,4381
1,6441
0,10292
0,29534
1,30726
1,13228
0,833
0,25656
1,18421
1,14672
0,21862
0,9022
0,18003
0,5448
1,26192
0,14205
0,30893
1,22038
0,23851
0,20674
1,2502
0,13176
0,14092
1,16685
1,25611
1,7535
0,15851
1,8530
0,21419
0,18270
1,4064
0,11463
0,12298
0,31577
1,8410
0,17493
1,20684
0,18013
1,1863
1,7204
0,26569
1,21031
0,17531
1,17190
1,26716
1,11445
1,1043
1,23438
0,27092
0,1872
0,9922
1,20111
0,11666
0,4737
0,31165
0,18947
0,21945
1,2719
0,31675
0,6263
0,12585
0,31574
0,15739
1,30378
1,15839
0,12906
0,23845
0,32894
1,32284
0,3979
1,30787
0,12108
0,25330
1,17972
0,16902
0,28859
0,30169
1,21322
1,16661
1,11983
1,14184
0,28866
0,15955
0,11124
0,15563
0,8794
0,31604
0,14927
1,22608
0,6107
0,22803
1,10080
1,7365
0,29160
0,1415
0,343
0,10304
1,14389
0,17572
1,23222
0,24638
0,21488
0,30086
0,12218
0,10365
0,10681
0,20474
0,6735
0,6622
1,19444
1,8133
0,15119
1,17732
0,6861
0,14173
1,32742
0,2237
1,27093
1,4784
1,21814
1,13323
0,394
1,8231
0,3521
0,27137
0,10410
1,8207
1,26306
1,15043
0,30335
1,6631
0,26751
0,14650
0,20524
0,4684
0,14896
0,19246
0,27281
0,19880
1,22643
0,2910
1,21643
1,24208
0,11094
0,8860
1,8000
0,19252
0,8491
0,31857
0,845
0,6642
0,14357
0,969
1,31490
1,16037
1,22749
0,1730
1,13790
1,8096
0,26685
0,19285
1,20580
0,9637
1,6062
