Egap,Id
2.8121,8683
2.5128,8788
1.9509999999999998,5144
1.0099,9593
2.9344,2027
3.7766,12996
1.4328,4653
3.9189,9758
0.1823,5078
0.9864,4146
0.2559,2394
1.8635,10109
1.1356,10201
1.0203,5699
2.7011,8636
1.2579,7503
0.522,5981
1.2136,2600
4.2806,4380
1.9939,7662
6.013,7803
1.3687,5225
1.5751,7251
2.2137,10995
0.7922,11081
5.6809,6933
3.1407,8345
3.0502,4271
1.8113,13357
3.9828,7606
0.4066,9473
1.4368,9513
5.3393,11321
0.9417,11190
1.6978,9089
3.0656,8080
1.6379,12251
0.7077,5850
5.0041,11456
2.4024,4548
2.9458,7923
3.68,13572
4.3728,1331
6.6394,3955
5.8439,10925
5.0392,221
0.6341,544
1.1657,3191
0.8351,2199
0.5037,8611
2.1322,11749
4.1719,1857
4.7914,4885
3.0202,11720
2.4112,9393
0.2729,3781
1.209,6648
2.0580000000000003,13784
2.2938,5171
2.3633,3739
2.7202,2230
0.5958,10073
0.3329,6390
6.3116,12196
4.1984,9419
0.1774,1824
1.4842,959
2.0469999999999997,11172
1.9624,9481
1.3123,5543
3.1991,7592
5.8265,3072
5.5939,6430
1.5388,9709
1.0842,13156
0.4925,8273
1.3673,341
4.5708,390
2.6661,5802
1.163,3190
2.3551,1863
0.8074,2038
3.7918,2302
2.3955,1675
3.9387,10077
3.3856,11286
5.7735,1821
4.2091,2959
0.1348,10967
1.449,8524
4.8547,2791
2.0681,10868
0.1344,6142
1.2472,12953
1.4628,4023
4.6846,13124
2.2504,7148
1.6339,1758
1.4012,3581
1.8708,2363
0.4437,2175
0.3195,261
0.4189,3374
3.555,12319
1.1149,3232
7.2924,5367
2.6031,8860
0.8684,848
3.2338,11145
1.7907,1501
4.9739,7872
0.5924,1807
1.4189,8199
5.9783,8532
1.7245,7776
0.1714,8878
3.1782,13351
1.1207,2159
0.2084,11064
2.6672,10588
3.7921,11224
1.2614,2258
2.0340000000000003,635
2.2463,11923
2.1427,1706
1.3056,7136
1.9911,9940
0.6313,4608
4.4558,1038
3.9777,12477
1.0581,9486
1.1223,2179
3.8743,1853
3.4315,5851
2.1556,4010
1.5021,9823
3.4038,7272
5.242999999999999,2626
3.1215,2513
4.2846,10304
3.5539,97
2.2615,6409
4.2469,6237
2.0679,13654
3.3642,3927
5.2079,585
2.5579,9829
0.3369,5512
2.2564,6057
2.9789,2627
0.7394,5295
2.9297,9858
0.1536,10870
0.0825,7628
2.5965,6855
1.304,6961
2.3737,2948
1.2039,8701
0.9695,9991
3.688,1500
1.8437,1659
1.0606,9084
6.2535,7926
0.433,13460
2.2925,6868
2.1831,13142
0.7709999999999999,9184
0.256,9537
3.4809,4139
2.1749,11504
0.6755,9430
0.2352,11082
1.5084,3961
3.8725,7683
3.5624,4164
2.8336,4772
3.1642,9738
1.7216,446
1.5090000000000001,10723
0.0839,6831
2.7924,3621
4.2227,4048
4.1988,11147
0.7601,2488
0.4948,29
0.9623,8062
4.1318,8443
3.612,2305
2.1373,6542
0.6271,9050
2.2327,8651
3.8034,13025
2.9613,2734
2.8569,1861
4.332,11759
3.5267,3802
5.3748,2889
1.1126,6998
2.6051,4129
1.1368,9924
3.7865,4132
6.2814,1464
5.2392,10071
0.3052,3003
0.5625,4064
0.9329,11491
4.4799,8906
2.7626,5790
5.3934,1684
2.9167,807
2.5141,3593
1.5563,9113
1.7659,1207
1.0348,10557
2.9539999999999997,11131
1.0245,10661
1.1882,2835
2.4617,12041
2.9727,8711
5.1855,12897
2.3481,13655
0.7103,5495
6.8049,718
1.094,4886
2.2981,195
0.5842,8973
0.0948,6613
2.4112,652
1.6824,6900
3.9819999999999998,3959
2.0509,5904
2.9149,11986
2.9966,1964
2.6212,1057
3.62,2180
2.8582,8626
3.5652,8930
1.311,1990
2.2371,9679
3.0566,8560
7.285,4888
1.8636,186
3.0329,7992
1.4517,12969
2.8329,4803
4.3969,13329
5.0826,4881
3.2467,8817
5.9351,12098
0.5787,13573
1.4005,6242
1.6076,12002
3.4819999999999998,3903
0.8698,3703
0.6242,4660
2.1809,9968
4.9035,6146
5.1783,11378
1.3708,11609
2.0198,2598
2.0665,9763
0.2891,10495
2.2543,4742
6.9345,13138
3.7573,4931
2.9472,10262
1.1428,10982
2.6252,2715
2.6721,11999
2.7688,7563
6.7685,9883
2.119,7485
3.5779,4205
0.5238,846
1.0839,9150
5.3709,9878
4.9997,11612
6.7507,2925
5.4091,8787
4.1114,4333
2.929,12053
1.3094,12717
5.3476,8018
0.4922,10001
1.6113,3683
1.0381,1077
2.193,13249
5.6184,10481
0.9696,733
1.9741,6994
5.3123,5280
3.1288,3389
1.0412,753
4.5587,8617
3.8945,1406
0.1817,8745
1.0512,6009
1.9085,5120
4.3335,5400
5.7867,977
5.3928,9226
0.934,10193
2.7516,11802
6.2204,299
3.7623,13479
5.6117,378
1.6306,537
1.3496,627
0.2983,4821
1.1813,6398
5.4914,4297
2.7588,9765
1.0486,343
5.7425,4555
2.1269,8931
3.7966,5601
3.2549,3574
4.8022,3518
7.196000000000001,2562
0.5426,6226
0.5224,8764
2.9219999999999997,11132
1.9286,2466
2.4530000000000003,8851
4.8249,2121
4.2823,75
2.7884,6905
1.6768,7064
3.9734,1896
4.5405,10302
0.4824,11274
1.9433,5378
1.7745,5620
0.5567,11052
1.4008,2752
4.8697,1582
2.5795,10537
2.1363,9748
4.7085,12365
7.3238,1043
5.1884,2912
4.1749,5659
4.6951,12348
2.0906,7005
3.2563,2046
0.214,6222
1.6166,10465
1.7858,7465
0.6304,8887
2.4146,9098
3.9005,3980
0.4079,12710
0.8879,628
1.5441,6639
4.9269,6264
3.7999,419
4.6431,13003
1.4666,1214
3.5524,2517
0.9007,1745
1.0623,2376
2.1038,609
0.12300000000000001,10042
1.2994,12847
2.9341,2242
2.3465,7116
0.3091,10857
2.4214,7558
0.3636,2584
1.1713,2704
1.2766,5264
0.2153,6092
3.0319,7196
1.5316,6865
4.8524,5034
2.0451,7007
4.9566,9240
1.2169,2068
1.9344,3264
1.2836,2437
4.4262,107
5.3646,4674
1.1013,1397
4.5299,6612
1.242,2765
2.8719,9865
6.3203,5742
0.4051,11380
0.1744,5707
2.9227,11968
5.8241,14
3.8415,7749
1.9285,7877
0.1583,13235
1.4548,1265
0.8277,9586
3.5496,2839
2.1716,3476
2.4138,5778
1.4081,13801
3.7916,2628
1.4916,10885
0.5094,3515
6.5248,9935
1.8904,6586
0.9493,5409
4.0292,8729
5.7503,11840
2.1697,10616
3.9118,10952
5.3705,4695
1.8116,9856
0.8786,5005
0.2136,1101
5.9006,10162
0.7894,13279
2.0562,3733
3.2999,10542
5.8019,494
2.0748,4493
2.0095,9101
0.4717,2112
0.1169,4037
3.5038,8622
2.1367,233
4.282,1662
6.46,10274
0.8611,6250
0.6314,9015
4.6128,10069
2.7987,8587
0.7783,6523
0.2953,9467
2.0679,7230
2.3613,13027
3.3745,3293
6.5302,4847
3.4179,3255
0.6847,1750
1.2558,13492
1.2459,9493
1.0692,8658
0.7517,3421
1.114,3989
0.2218,10067
2.9814,8194
1.2691,3968
2.0189,10414
0.9904,10319
3.1631,908
3.8251,11265
2.3812,1625
0.1548,11422
0.7629,9680
1.7717,11387
7.1819,12722
2.2386,5231
1.577,6653
2.3977,1567
1.2673,10403
4.042,7714
1.45,1181
4.2828,3086
4.2554,6747
0.8781,9755
2.1856,7930
6.0607,11352
2.8908,12237
1.8354,6719
1.2462,982
5.4406,13096
6.8135,8567
0.8411,10773
2.5813,5064
6.3224,7997
2.0763,7233
3.5487,9456
2.9001,8824
1.7805,1607
1.1831,2749
1.5028,9164
1.8735,13173
1.3914,9777
0.8205,2559
6.9115,8393
0.7962,10337
2.2075,5526
1.0881,11165
1.9243,12568
1.4951,1450
2.0453,12597
1.9962,3631
2.1552,10945
0.6098,11755
2.3991,5236
1.6002,3242
5.1606,11156
4.4078,10564
0.8264,1089
1.8175,4593
0.4585,6037
1.2943,11393
3.3779,13828
4.9988,654
2.1611,3795
1.7509,9298
5.3049,4394
0.5848,11038
1.2365,10295
2.1093,9478
0.3062,10716
2.3857,11029
2.0816,4497
1.6362,12867
3.6497,5140
2.2898,2988
2.2856,6860
3.6759,1552
0.6242,2533
1.3573,701
2.2629,7397
1.4134,4163
4.3259,8100
3.4509,7033
1.5177,389
3.5028,3743
0.0942,2365
2.1077,4863
3.6879,6775
1.0695,2030
1.4281,11982
0.3054,2778
6.9954,4822
2.1014,1215
3.4572,8934
1.4054,7394
3.5048,13159
2.6962,7035
1.1739,7638
1.6679,10192
0.4491,3340
1.2564,6015
0.6985,5649
3.7087,13750
3.2874,6462
0.4628,4303
4.2998,10823
2.4381,7679
3.2171,3128
3.8625,3460
1.5193,662
0.0912,7470
1.0197,1773
2.9847,13257
5.3203,1228
5.7311,3419
0.8086,12359
1.9347,13015
2.0059,1366
0.7829999999999999,13069
1.2705,6863
3.9823,9012
1.6869999999999998,7443
2.0883,11816
1.1068,22
2.0422,8833
0.7144,9310
1.722,12199
1.6058,10848
2.5394,6166
3.4013,1499
0.5549,7142
1.0297,4724
3.1776,12259
1.3515,1665
1.3159,8298
0.6586,12212
1.6003,4895
0.6254,1239
1.6514,11458
1.3382,3165
2.2565,5438
2.109,5944
